"","x"
"1",9
"2",3
"3",1
"4",1
"5",1
"6",1
"7",1
"8",1
"9",1
"10",1
"11",1
"12",1
"13",4
"14",1
"15",1
"16",1
"17",1
"18",1
"19",1
"20",1
"21",1
"22",1
"23",1
"24",4
"25",1
"26",1
"27",1
"28",1
"29",1
"30",1
"31",1
"32",1
"33",1
"34",1
"35",3
"36",1
"37",1
"38",1
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",1
"46",4
"47",1
"48",5
"49",2
"50",3
"51",4
"52",5
"53",3
"54",2
"55",3
"56",4
"57",3
"58",2
"59",4
"60",2
"61",3
"62",3
"63",2
"64",7
"65",3
"66",3
"67",4
"68",4
"69",3
"70",2
"71",4
"72",3
"73",1
"74",2
"75",8
"76",2
"77",3
"78",1
"79",2
"80",2
"81",3
"82",3
"83",2
"84",2
"85",2
"86",5
"87",1
"88",3
"89",3
"90",2
"91",3
"92",3
"93",3
"94",2
"95",2
"96",2
"97",1
"98",1
"99",2
"100",1
"101",2
"102",2
"103",2
"104",2
"105",2
"106",1
"107",2
"108",7
"109",2
"110",2
"111",2
"112",1
"113",2
"114",1
"115",1
"116",1
"117",1
"118",1
"119",5
"120",1
"121",1
"122",1
"123",1
"124",1
"125",1
"126",1
"127",1
"128",1
"129",1
"130",5
"131",1
"132",1
"133",1
"134",1
"135",1
"136",1
"137",1
"138",1
"139",1
"140",1
"141",28
"142",9
"143",10
"144",5
"145",3
"146",5
"147",4
"148",3
"149",2
"150",3
"151",3
"152",4
"153",2
"154",7
"155",3
"156",2
"157",2
"158",1
"159",2
"160",1
"161",1
"162",1
"163",2
"164",2
"165",13
"166",1
"167",1
"168",1
"169",1
"170",1
"171",1
"172",1
"173",1
"174",1
"175",1
"176",8
"177",1
"178",1
"179",1
"180",1
"181",1
"182",1
"183",1
"184",1
"185",1
"186",1
"187",1
"188",1
"189",1
"190",1
"191",1
"192",1
"193",1
"194",1
"195",1
"196",1
"197",1
"198",11
"199",1
"200",1
"201",1
"202",1
"203",1
"204",1
"205",1
"206",1
"207",1
"208",1
"209",1
"210",1
"211",1
"212",1
"213",1
"214",1
"215",1
"216",1
"217",1
"218",1
"219",1
"220",3
"221",1
"222",1
"223",1
"224",1
"225",1
"226",1
"227",1
"228",1
"229",1
"230",1
"231",4
"232",1
"233",1
"234",1
"235",1
"236",1
"237",1
"238",1
"239",1
"240",87
"241",20
"242",98
"243",74
"244",55
"245",25
"246",1
"247",2
"248",1
"249",1
"250",1
"251",1
"252",1
"253",1
"254",1
"255",1
"256",1
"257",1
"258",1
"259",1
"260",1
"261",1
"262",1
"263",1
